timestamp,source_file,page,raw_data,ai_01,ai_21,ai_91,ai_92,ai_93,ai_94,ai_95,ai_99,other
31.07.2025 19:50:44,00001.eps,,0104664056575019215E:)s'91EE1192y+JJN2eamEIIP3BGh+KA3xFYE9B+M8K6utzdOWOTE5I=,04664056575019215E:)s',,EE11,y+JJN2eamEIIP3BGh+KA3xFYE9B+M8K6utzdOWOTE5I=,,,,,
31.07.2025 19:51:29,00002.eps,,0104664056575019215Z%O&*91EE1192yJHjbVLExumxJRQj3bgEf076FyrRF5AhU65jqY/nvHY=,04664056575019215Z%O&*,,EE11,yJHjbVLExumxJRQj3bgEf076FyrRF5AhU65jqY/nvHY=,,,,,
31.07.2025 19:52:18,00200.eps,,0104664056575019215SIWkV91EE1192UsYKXkeX1PECS9myszoTbuSQb+GuGVdJu/u521Ts6rc=,04664056575019215SIWkV,,EE11,UsYKXkeX1PECS9myszoTbuSQb+GuGVdJu/u521Ts6rc=,,,,,
31.07.2025 19:52:28,Test_dmr.pdf,стр.1, 0104664056575019215E:)s'91EE1192y+JJN2eamEIIP3BGh+KA3xFYE9B+M8K6utzdOWOTE5I=,,,EE11,y+JJN2eamEIIP3BGh+KA3xFYE9B+M8K6utzdOWOTE5I=,,,,, 0:104664056575019215E:)s'
31.07.2025 19:52:28,Test_dmr.pdf,стр.2, 0104664056575019215Z%O&*91EE1192yJHjbVLExumxJRQj3bgEf076FyrRF5AhU65jqY/nvHY=,,,EE11,yJHjbVLExumxJRQj3bgEf076FyrRF5AhU65jqY/nvHY=,,,,, 0:104664056575019215Z%O&*
31.07.2025 19:52:28,Test_dmr.pdf,стр.3, 0104664056575019215KlAOQ91EE11921wt4PaXIO07970F+kbnnsIG3q8JC+T30DxyCDNllocE=,,,EE11,1wt4PaXIO07970F+kbnnsIG3q8JC+T30DxyCDNllocE=,,,,, 0:104664056575019215KlAOQ
31.07.2025 19:52:28,Test_dmr.pdf,стр.4, 0104664056575019215p1E%N91EE1192cmUrGwug5/8sMY60+EGgglrVGPmkad2GHu+ltjs+j4I=,,,EE11,cmUrGwug5/8sMY60+EGgglrVGPmkad2GHu+ltjs+j4I=,,,,, 0:104664056575019215p1E%N
31.07.2025 19:52:28,Test_dmr.pdf,стр.5, 01046640565750192150afLH91EE1192RyXWyRXpHOE91GJvvLoJax3poFTWSt1w3IApIXhQNGA=,,,EE11,RyXWyRXpHOE91GJvvLoJax3poFTWSt1w3IApIXhQNGA=,,,,, 0:1046640565750192150afLH
31.07.2025 19:52:28,Test_dmr.pdf,стр.6, 0104664056575019215VIX9T91EE1192RMPjnIlK+4HbNePXCBVu6K1u2aZS8BaA5f1P69M0B0o=,,,EE11,RMPjnIlK+4HbNePXCBVu6K1u2aZS8BaA5f1P69M0B0o=,,,,, 0:104664056575019215VIX9T
31.07.2025 19:52:28,Test_dmr.pdf,стр.7, 0104664056575019215gM1M'91EE1192iQoSGiFr+Buh0uU4mg5hQl2OjVgtLmPQfuMKbLuisZQ=,,,EE11,iQoSGiFr+Buh0uU4mg5hQl2OjVgtLmPQfuMKbLuisZQ=,,,,, 0:104664056575019215gM1M'
31.07.2025 19:52:28,Test_dmr.pdf,стр.8, 0104664056575019215kr(sI91EE1192twQv7fBqxJqP2T1XIqEYSY2EtVHzJaJ+Zc93XAosh5w=,,,EE11,twQv7fBqxJqP2T1XIqEYSY2EtVHzJaJ+Zc93XAosh5w=,,,,, 0:104664056575019215kr(sI
31.07.2025 19:52:28,Test_dmr.pdf,стр.9, 010466405657501921504KwH91EE1192fO3+blwcX/4If6LDXkR+JgJ0+eOcqyjKMg9jnYU1WlE=,,,EE11,fO3+blwcX/4If6LDXkR+JgJ0+eOcqyjKMg9jnYU1WlE=,,,,, 0:10466405657501921504KwH
31.07.2025 19:52:28,Test_dmr.pdf,стр.10," 0104664056575019215,tHA291EE1192AP0YcWJoC53GbPwKoGdA/Ya6wknV+yXDpwaS5v6DXGg=",,,EE11,AP0YcWJoC53GbPwKoGdA/Ya6wknV+yXDpwaS5v6DXGg=,,,,," 0:104664056575019215,tHA2"
31.07.2025 19:52:28,Test_dmr.pdf,стр.11, 0104664056575019215V&CoF91EE1192MjOPjhP86NU5aIkvQRItOPMjeafmzrxipQ368yMTeYg=,,,EE11,MjOPjhP86NU5aIkvQRItOPMjeafmzrxipQ368yMTeYg=,,,,, 0:104664056575019215V&CoF
31.07.2025 19:52:28,Test_dmr.pdf,стр.12, 0104664056575019215RYBXN91EE1192jajrhAVT1jwq0n6bUZBu4lbvi/mveFcXT652cgsn51w=,,,EE11,jajrhAVT1jwq0n6bUZBu4lbvi/mveFcXT652cgsn51w=,,,,, 0:104664056575019215RYBXN
31.07.2025 19:52:28,Test_dmr.pdf,стр.13, 0104664056575019215xbiEc91EE1192qTJvSUGNzB3eoMwd7QTWCUj0kUFg0u5IkuEew07vVB0=,,,EE11,qTJvSUGNzB3eoMwd7QTWCUj0kUFg0u5IkuEew07vVB0=,,,,, 0:104664056575019215xbiEc
31.07.2025 19:52:28,Test_dmr.pdf,стр.14, 0104664056575019215qTcTr91EE11928XAU5P7y1IY3y/kS0okt9zaPk3LOQFzFTNO+dOrLAr8=,,,EE11,8XAU5P7y1IY3y/kS0okt9zaPk3LOQFzFTNO+dOrLAr8=,,,,, 0:104664056575019215qTcTr
31.07.2025 19:52:28,Test_dmr.pdf,стр.15, 0104664056575019215qyPyL91EE119264Z7mMTjJvCK4HNRzhVHZiZdECGJdIpUrVXG/ZbA+/w=,,,EE11,64Z7mMTjJvCK4HNRzhVHZiZdECGJdIpUrVXG/ZbA+/w=,,,,, 0:104664056575019215qyPyL
31.07.2025 19:52:28,Test_dmr.pdf,стр.16, 0104664056575019215bd(Sa91EE1192OrO/0faf76WF7N/YuAf9toDokRhkoCfVqtHltLgMsng=,,,EE11,OrO/0faf76WF7N/YuAf9toDokRhkoCfVqtHltLgMsng=,,,,, 0:104664056575019215bd(Sa
31.07.2025 19:52:28,Test_dmr.pdf,стр.17," 0104664056575019215-g""5i91EE11922hrWtwZdczhvv1TT97UU9hhP8ck/jTT9zRJKb/fbABQ=",,,EE11,2hrWtwZdczhvv1TT97UU9hhP8ck/jTT9zRJKb/fbABQ=,,,,," 0:104664056575019215-g""5i"
31.07.2025 19:52:28,Test_dmr.pdf,стр.18, 0104664056575019215=Pfbq91EE1192eP2lEFDD0H03bq1HEzaljQrh6QOSvgrNxzUQN4l0EuY=,,,EE11,eP2lEFDD0H03bq1HEzaljQrh6QOSvgrNxzUQN4l0EuY=,,,,, 0:104664056575019215=Pfbq
31.07.2025 19:52:28,Test_dmr.pdf,стр.19, 0104664056575019215HjhPl91EE1192aahvCMIUD3a2D+mhMp3nX2qbGzhLuoe1HQGbdlfDYo0=,,,EE11,aahvCMIUD3a2D+mhMp3nX2qbGzhLuoe1HQGbdlfDYo0=,,,,, 0:104664056575019215HjhPl
31.07.2025 19:52:28,Test_dmr.pdf,стр.20, 0104664056575019215T0(HN91EE1192kTiQYMWkyeLxXPMltLGcthdUzrB2ChdAq+DvoswwrOE=,,,EE11,kTiQYMWkyeLxXPMltLGcthdUzrB2ChdAq+DvoswwrOE=,,,,, 0:104664056575019215T0(HN
31.07.2025 19:52:28,Test_dmr.pdf,стр.21, 0104664056575019215ql.dQ91EE1192QUlKVhQAJnZDnEyzfZFs1xhYY359yDF9kitjJJi299M=,,,EE11,QUlKVhQAJnZDnEyzfZFs1xhYY359yDF9kitjJJi299M=,,,,, 0:104664056575019215ql.dQ
31.07.2025 19:52:28,Test_dmr.pdf,стр.22, 0104664056575019215FFJBG91EE1192CKzmVviR4c2kzLqy7nDDGLvgjuqB+aVBpBeybKRBaoI=,,,EE11,CKzmVviR4c2kzLqy7nDDGLvgjuqB+aVBpBeybKRBaoI=,,,,, 0:104664056575019215FFJBG
31.07.2025 19:52:28,Test_dmr.pdf,стр.23, 0104664056575019215*UANC91EE11924NZxY4IBRdSzFKuFeTzXLFa0pWZzMSdhwMZsFy2mV3Y=,,,EE11,4NZxY4IBRdSzFKuFeTzXLFa0pWZzMSdhwMZsFy2mV3Y=,,,,, 0:104664056575019215*UANC
31.07.2025 19:52:28,Test_dmr.pdf,стр.24, 0104664056575019215hOGO/91EE1192taBkJisBAeZJ2aHNvg6YmXQT8Dy9HrtSgt4fpltY0h4=,,,EE11,taBkJisBAeZJ2aHNvg6YmXQT8Dy9HrtSgt4fpltY0h4=,,,,, 0:104664056575019215hOGO/
31.07.2025 19:52:28,Test_dmr.pdf,стр.25, 0104664056575019215Q&v-u91EE1192zBFHj5qUtjKO6iN6Z70g+jOuEC3gYnZJ1yVq4Jak4Tk=,,,EE11,zBFHj5qUtjKO6iN6Z70g+jOuEC3gYnZJ1yVq4Jak4Tk=,,,,, 0:104664056575019215Q&v-u
